================================================================================
BACKEND ROUTE INVENTORY (source-declared)
Files: backend/server.py + backend/routers/*.py
================================================================================
Total source-declared routes: 999

TOTAL_ROUTES_SOURCE: 998
GET | '/aawab/admin/overview' | aawab_admin_overview | _require_rank('admin') | backend/routers/aawab.py
GET | '/aawab/agents' | aawab_list_agents | _require_rank('support_staff') | backend/routers/aawab.py
GET | '/aawab/agents/{agent_id}' | aawab_get_agent | _require_rank('support_staff') | backend/routers/aawab.py
GET | '/aawab/badge/{badge_id}/verify' | aawab_badge_verify | none | backend/routers/aawab.py
GET | '/aawab/registry' | aawab_registry | none | backend/routers/aawab.py
POST | '/aawab/admin/agents/{agent_id}/override' | aawab_admin_override | _require_rank('admin') | backend/routers/aawab.py
POST | '/aawab/admin/agents/{agent_id}/revoke' | aawab_admin_revoke | _require_rank('admin') | backend/routers/aawab.py
POST | '/aawab/agents/{agent_id}/certify' | aawab_certify | _require_rank('support_staff') | backend/routers/aawab.py
POST | '/aawab/agents/{agent_id}/diagnose' | aawab_diagnose | _require_rank('support_staff') | backend/routers/aawab.py
POST | '/aawab/agents/{agent_id}/treat' | aawab_treat | _require_rank('support_staff') | backend/routers/aawab.py
POST | '/aawab/register' | aawab_register | _require_rank('support_staff') | backend/routers/aawab.py
GET | '/abo/admin/overview' | abo_admin_overview | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
GET | '/abo/agenda' | abo_agenda | _dep_current_user | backend/routers/abo.py
GET | '/abo/config' | abo_config | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
GET | '/abo/deals' | abo_deals | _dep_current_user | backend/routers/abo.py
GET | '/abo/exchange' | abo_exchange | _dep_current_user | backend/routers/abo.py
GET | '/abo/jobs' | abo_jobs | _dep_current_user | backend/routers/abo.py
GET | '/abo/overview' | abo_overview | _dep_current_user | backend/routers/abo.py
GET | '/abo/public-status' | abo_public_status | none | backend/routers/abo.py
GET | '/abo/redteam' | abo_redteam | _dep_current_user | backend/routers/abo.py
GET | '/abo/source' | abo_source | _dep_current_user | backend/routers/abo.py
GET | '/abo/source/controls' | abo_source_controls | _dep_current_user | backend/routers/abo.py
GET | '/abo/tools' | abo_tools | _dep_current_user | backend/routers/abo.py
GET | '/abo/verify' | abo_verify | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
PATCH | '/abo/agenda/{item_id}' | update_agenda | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
PATCH | '/abo/deals/{deal_id}' | update_deal | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
POST | '/abo/deals' | create_deal | _dep_current_user | backend/routers/abo.py
POST | '/abo/deals/{deal_id}/propose' | propose_deal | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
POST | '/abo/exchange/contracts' | create_exchange_contract | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
POST | '/abo/exchange/contracts/{contract_id}/complete' | complete_exchange_contract | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
POST | '/abo/goals' | abo_set_goals | _require_rank('executive_admin', 'admin') | backend/routers/abo.py
POST | '/abo/jobs' | create_job | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
POST | '/abo/redteam/engagements' | create_redteam_engagement | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
POST | '/abo/redteam/engagements/{engagement_id}/approve' | approve_redteam_engagement | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
POST | '/abo/redteam/engagements/{engagement_id}/close' | close_redteam_engagement | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
POST | '/abo/source/controls' | abo_source_controls_save | _require_rank('executive_admin', 'admin') | backend/routers/abo.py
PUT | '/abo/config' | update_abo_config | _require_rank('admin', 'executive_admin') | backend/routers/abo.py
DELETE | '/academy/students/{student_id}' | archive_student | _dep_current_user | backend/routers/academy.py
GET | '/academy/courses' | list_courses | none | backend/routers/academy.py
GET | '/academy/courses/{slug}' | course_detail | _dep_optional_user | backend/routers/academy.py
GET | '/academy/courses/{slug}/learn' | course_learn | _dep_current_user | backend/routers/academy.py
GET | '/academy/instructor/interventions' | list_interventions | _require_rank('instructor', 'admin') | backend/routers/academy.py
GET | '/academy/instructor/learners' | instructor_learners | _require_rank('instructor', 'admin') | backend/routers/academy.py
GET | '/academy/instructor/learners/{student_id}/progress' | instructor_learner_progress | _require_rank('instructor', 'admin') | backend/routers/academy.py
GET | '/academy/messages' | list_academy_messages | _dep_current_user | backend/routers/academy.py
GET | '/academy/students' | list_students | _dep_current_user | backend/routers/academy.py
GET | '/academy/students/{student_id}/dashboard' | student_dashboard | _dep_current_user | backend/routers/academy.py
GET | '/academy/students/{student_id}/records' | student_records | _dep_current_user | backend/routers/academy.py
GET | '/academy/tracks' | academy_tracks | none | backend/routers/academy.py
PATCH | '/academy/students/{student_id}' | update_student | _dep_current_user | backend/routers/academy.py
POST | '/academy/courses/{slug}/lessons/{lesson_slug}/attempt' | submit_attempt | _dep_current_user | backend/routers/academy.py
POST | '/academy/instructor/interventions' | create_intervention | _require_rank('instructor', 'admin') | backend/routers/academy.py
POST | '/academy/messages' | send_academy_message | _dep_current_user | backend/routers/academy.py
POST | '/academy/messages/{mid}/read' | read_academy_message | _dep_current_user | backend/routers/academy.py
POST | '/academy/students' | create_student | _dep_current_user | backend/routers/academy.py
POST | '/academy/students/{student_id}/courses' | change_enrollment | _dep_current_user | backend/routers/academy.py
GET | '/adaptive/me' | adaptive_recommendations | _dep_current_user | backend/routers/admin.py
GET | '/admin/cohorts' | cohort_summary | _require_rank('admin') | backend/routers/admin.py
GET | '/admin/courses' | admin_list_courses | _require_rank('admin') | backend/routers/admin.py
GET | '/admin/recent-activity' | recent_activity | _require_rank('admin') | backend/routers/admin.py
GET | '/admin/stats' | stats | _require_rank('admin') | backend/routers/admin.py
POST | '/admin/courses/{course_id}/moderate' | admin_moderate_course | _require_rank('admin') | backend/routers/admin.py
DELETE | '/ai/memory/policy/{persona}/{order_id}' | delete_memory_policy | _require_rank('executive_admin') | backend/routers/ai.py
GET | '/admin/sage/audit' | admin_sage_audit | _require_rank('executive_admin') | backend/routers/ai.py
GET | '/admin/sage/cap' | admin_get_sage_cap | _require_rank('executive_admin') | backend/routers/ai.py
GET | '/admin/sage/metrics' | admin_sage_metrics | _require_rank('executive_admin') | backend/routers/ai.py
GET | '/admin/sage/status' | admin_sage_status | _require_rank('executive_admin') | backend/routers/ai.py
GET | '/ai/consent/health' | ai_consent_health | none | backend/routers/ai.py
GET | '/ai/director/greeting' | director_greeting | _dep_current_user | backend/routers/ai.py
GET | '/ai/director/pulse' | director_pulse | _require_rank('admin') | backend/routers/ai.py
GET | '/ai/history/{session_id}' | ai_history | _dep_current_user | backend/routers/ai.py
GET | '/ai/memory' | get_all_memory | _require_rank('executive_admin') | backend/routers/ai.py
GET | '/ai/memory/{persona}' | get_persona_memory | _dep_current_user | backend/routers/ai.py
GET | '/ai/orchestrator/integrity' | orchestrator_integrity | _dep_current_user | backend/routers/ai.py
GET | '/ai/sage/integrity' | sage_integrity | _dep_current_user | backend/routers/ai.py
GET | '/ai/scholar/integrity' | scholar_integrity | _dep_current_user | backend/routers/ai.py
GET | '/knowledge/search' | knowledge_search | _optional_session | backend/routers/ai.py
GET | '/personas' | personas_directory | none | backend/routers/ai.py
GET | '/personas/exec' | exec_personas | _require_rank('admin', 'executive_admin') | backend/routers/ai.py
GET | '/personas/{slug}' | persona_profile | none | backend/routers/ai.py
GET | '/personas/{slug}/controls' | persona_controls_get | _dep_current_user | backend/routers/ai.py
POST | '/ai/ambassador' | ai_ambassador | _dep_current_user | backend/routers/ai.py
POST | '/ai/architect' | ai_architect | _dep_current_user | backend/routers/ai.py
POST | '/ai/chat' | ai_chat | _dep_current_user | backend/routers/ai.py
POST | '/ai/cipher' | ai_cipher | _dep_current_user | backend/routers/ai.py
POST | '/ai/cipher/generate-audio' | cipher_generate_audio | _require_rank('executive_admin') | backend/routers/ai.py
POST | '/ai/cipher/tts' | cipher_tts | _require_rank('executive_admin') | backend/routers/ai.py
POST | '/ai/consent' | ai_consent | _dep_current_user | backend/routers/ai.py
POST | '/ai/director' | ai_director | _dep_current_user | backend/routers/ai.py
POST | '/ai/director/tts' | director_tts | _require_rank('executive_admin') | backend/routers/ai.py
POST | '/ai/director/upload' | director_upload_file | _dep_current_user | backend/routers/ai.py
POST | '/ai/griot' | ai_griot | _dep_current_user | backend/routers/ai.py
POST | '/ai/helper' | ai_helper | none | backend/routers/ai.py
POST | '/ai/memory/policy' | set_memory_policy | _require_rank('executive_admin') | backend/routers/ai.py
POST | '/ai/oracle' | ai_oracle | _dep_current_user | backend/routers/ai.py
POST | '/ai/orchestrator' | ai_orchestrator | _dep_current_user | backend/routers/ai.py
POST | '/ai/revenue-director' | ai_revenue_director | _dep_current_user | backend/routers/ai.py
POST | '/ai/revenue-director/tts' | revenue_director_tts | _require_rank('executive_admin') | backend/routers/ai.py
POST | '/ai/sage/create' | sage_create | _dep_current_user | backend/routers/ai.py
POST | '/ai/sage/elevenlabs/tts' | sage_elevenlabs_tts | _require_rank('executive_admin') | backend/routers/ai.py
POST | '/ai/sage/resolve_mode' | resolve_mode | _dep_current_user | backend/routers/ai.py
POST | '/ai/sage/tts' | sage_tts | _dep_current_user | backend/routers/ai.py
POST | '/ai/scholar' | ai_scholar | _dep_current_user | backend/routers/ai.py
POST | '/ai/tool-chat' | ai_tool_chat | _dep_current_user | backend/routers/ai.py
POST | '/helper/ask' | helper_ask | none | backend/routers/ai.py
POST | '/personas/{slug}/chat' | persona_chat | _dep_current_user | backend/routers/ai.py
POST | '/personas/{slug}/controls' | persona_controls_set | _dep_current_user | backend/routers/ai.py
POST | '/personas/{slug}/toggle' | toggle_persona | _require_rank('executive_admin') | backend/routers/ai.py
POST | '/public/helper/ask' | public_helper_ask | none | backend/routers/ai.py
PUT | '/admin/sage/cap/global' | admin_set_sage_cap_global | _require_rank('executive_admin') | backend/routers/ai.py
PUT | '/admin/sage/cap/user/{uid}' | admin_set_sage_cap_user | _require_rank('executive_admin') | backend/routers/ai.py
DELETE | '/admin/prices/{price_id}' | delete_price | _require_rank('executive_admin') | backend/routers/auditor.py
GET | '/admin/prices' | list_prices | _require_rank('admin') | backend/routers/auditor.py
GET | '/auditor/debt' | auditor_debt | _require_rank('admin') | backend/routers/auditor.py
GET | '/auditor/ledger' | auditor_ledger_list | _require_rank('admin') | backend/routers/auditor.py
GET | '/auditor/report' | auditor_report | _require_rank('admin') | backend/routers/auditor.py
GET | '/auditor/risks' | auditor_risks | _require_rank('admin') | backend/routers/auditor.py
GET | '/auditor/summary' | auditor_summary | _require_rank('admin') | backend/routers/auditor.py
GET | '/prices/public' | public_prices | none | backend/routers/auditor.py
PATCH | '/admin/prices/{price_id}' | update_price | _require_rank('admin') | backend/routers/auditor.py
PATCH | '/auditor/ledger/{entry_id}' | auditor_update_entry | _require_rank('admin') | backend/routers/auditor.py
POST | '/admin/prices' | create_price | _require_rank('admin') | backend/routers/auditor.py
POST | '/auditor/ledger' | auditor_add_entry | _require_rank('admin') | backend/routers/auditor.py
DELETE | '/auth/account' | gdpr_delete_account | _dep_current_user | backend/routers/auth.py
DELETE | '/auth/sessions' | revoke_all_sessions | _dep_current_user | backend/routers/auth.py
DELETE | '/auth/sessions/{session_id}' | revoke_session | _dep_current_user | backend/routers/auth.py
GET | '/auth/account/export' | gdpr_export_data | _dep_current_user | backend/routers/auth.py
GET | '/auth/cross-site-token' | generate_cross_site_token | _dep_current_user | backend/routers/auth.py
GET | '/auth/me' | me | _dep_current_user | backend/routers/auth.py
GET | '/auth/sessions' | list_sessions | _dep_current_user | backend/routers/auth.py
PATCH | '/auth/me' | edit_self | _dep_current_user | backend/routers/auth.py
POST | '/admin/users/{uid}/reset-link' | admin_create_reset_link | _require_rank('admin') | backend/routers/auth.py
POST | '/auth/change-password' | change_password | _dep_current_user | backend/routers/auth.py
POST | '/auth/cross-site-login' | cross_site_login | none | backend/routers/auth.py
POST | '/auth/emergency-recovery' | emergency_recovery | none | backend/routers/auth.py
POST | '/auth/exec-unlock' | exec_unlock | none | backend/routers/auth.py
POST | '/auth/factory-reset' | factory_reset | none | backend/routers/auth.py
POST | '/auth/forgot-password' | forgot_password | none | backend/routers/auth.py
POST | '/auth/login' | login | none | backend/routers/auth.py
POST | '/auth/reconsent' | gdpr_reconsent | _dep_current_user | backend/routers/auth.py
POST | '/auth/recovery-codes-generate' | generate_recovery_codes_endpoint | _require_rank('executive_admin') | backend/routers/auth.py
POST | '/auth/recovery-status' | recovery_code_status | none | backend/routers/auth.py
POST | '/auth/register' | register | none | backend/routers/auth.py
POST | '/auth/reset-password' | reset_password_endpoint | none | backend/routers/auth.py
GET | '/band/bookings' | band_my_bookings | _dep_current_user | backend/routers/band.py
GET | '/band/listings' | band_list | none | backend/routers/band.py
GET | '/band/my-listing' | band_my_listing | _dep_current_user | backend/routers/band.py
PATCH | '/band/bookings/{booking_id}/status' | band_update_booking | _dep_current_user | backend/routers/band.py
POST | '/band/book' | band_request_booking | _dep_current_user | backend/routers/band.py
POST | '/band/listings' | band_create_listing | _dep_current_user | backend/routers/band.py
DELETE | '/providers/keys/{key_id}' | provider_keys_delete | _require_rank('executive_admin') | backend/routers/billing.py
GET | '/billing/credits/balance' | billing_credits_balance | _require_rank('admin') | backend/routers/billing.py
GET | '/billing/sage-sessions' | billing_sage_sessions | _require_rank('admin') | backend/routers/billing.py
GET | '/providers' | providers_list | _require_rank('executive_admin') | backend/routers/billing.py
GET | '/providers/keys' | provider_keys_list | _require_rank('executive_admin') | backend/routers/billing.py
GET | '/team/actions' | team_actions_list | _require_rank('executive_admin') | backend/routers/billing.py
GET | '/team/monitor/status' | team_monitor_status | _require_rank('executive_admin') | backend/routers/billing.py
PATCH | '/providers/{provider_id}/status' | providers_set_status | _require_rank('executive_admin') | backend/routers/billing.py
POST | '/billing/credits/grant' | billing_credits_grant | _require_rank('admin') | backend/routers/billing.py
POST | '/billing/refunds/cash' | billing_cash_refund | _require_rank('executive_admin') | backend/routers/billing.py
POST | '/billing/refunds/site-credits' | billing_site_credit_refund | _require_rank('admin') | backend/routers/billing.py
POST | '/billing/sage-sessions/{session_id}/resolve' | billing_resolve_sage_session | _require_rank('admin') | backend/routers/billing.py
POST | '/providers' | providers_create | _require_rank('executive_admin') | backend/routers/billing.py
POST | '/providers/keys' | provider_keys_create | _require_rank('executive_admin') | backend/routers/billing.py
POST | '/providers/keys/{key_id}/test' | provider_keys_test | _require_rank('executive_admin') | backend/routers/billing.py
GET | '/bridge/config' | get_bridge_config | _require_rank('admin') | backend/routers/bridge.py
GET | '/bridge/log' | list_bridge_log | _require_rank('admin') | backend/routers/bridge.py
GET | '/bridge/personas' | list_bridge_personas | _require_rank('admin') | backend/routers/bridge.py
POST | '/bridge/dispatch' | create_dispatch | _require_rank('admin') | backend/routers/bridge.py
POST | '/bridge/receive' | receive_from_partner | none | backend/routers/bridge.py
PUT | '/bridge/config' | update_bridge_config | _require_rank('admin') | backend/routers/bridge.py
PUT | '/bridge/personas/{persona_key}' | update_bridge_persona | _require_rank('admin') | backend/routers/bridge.py
DELETE | '/byok/key/{provider}' | byok_remove_key | _dep_current_user | backend/routers/byok.py
GET | '/byok/admin' | byok_admin | _require_rank('admin') | backend/routers/byok.py
GET | '/byok/status' | byok_status | _dep_current_user | backend/routers/byok.py
POST | '/byok/activate' | byok_activate | _dep_current_user | backend/routers/byok.py
POST | '/byok/checkout' | byok_checkout | _dep_current_user | backend/routers/byok.py
POST | '/byok/key' | byok_save_key | _dep_current_user | backend/routers/byok.py
POST | '/byok/key/{provider}/test' | byok_test_key | _dep_current_user | backend/routers/byok.py
GET | '/creative-partner/contributions' | list_contributions | _dep_current_user | backend/routers/chat.py
POST | '/ai/social-blast' | ai_social_blast | _dep_current_user | backend/routers/chat.py
POST | '/assistant/chat' | admin_assistant_chat | _dep_current_user | backend/routers/chat.py
POST | '/creative-partner/chat' | creative_partner_chat | _dep_current_user | backend/routers/chat.py
POST | '/creative-partner/contribution' | submit_contribution | _dep_current_user | backend/routers/chat.py
POST | '/supervisor/public-chat' | supervisor_public_chat | none | backend/routers/chat.py
GET | '/admin/audit' | view_audit | _require_rank('support_staff', 'admin') | backend/routers/commerce.py
GET | '/admin/checkouts' | list_checkouts | _require_rank('instructor', 'admin') | backend/routers/commerce.py
GET | '/admin/discounts' | get_active_discount | _require_rank('executive_admin') | backend/routers/commerce.py
GET | '/admin/inventory' | list_inventory | _require_rank('admin', 'instructor') | backend/routers/commerce.py
GET | '/admin/payments' | admin_payment_list | _require_rank('admin') | backend/routers/commerce.py
GET | '/admin/platform/flags' | get_platform_flags | _require_rank('executive_admin') | backend/routers/commerce.py
GET | '/admin/sites' | list_sites | _require_rank('admin', 'instructor') | backend/routers/commerce.py
GET | '/pricing' | get_pricing | none | backend/routers/commerce.py
GET | '/verify/{code}' | verify_credential | none | backend/routers/commerce.py
POST | '/admin/checkout' | checkout_tool | _require_rank('instructor', 'admin') | backend/routers/commerce.py
POST | '/admin/checkout/{checkout_id}/return' | return_tool | _require_rank('instructor', 'admin') | backend/routers/commerce.py
POST | '/admin/discounts' | set_discount | _require_rank('executive_admin') | backend/routers/commerce.py
POST | '/admin/inventory' | add_inventory | _require_rank('admin') | backend/routers/commerce.py
POST | '/admin/platform/flags/{flag}' | set_platform_flag | _require_rank('executive_admin') | backend/routers/commerce.py
POST | '/admin/run-checks' | admin_run_checks | _require_rank('admin') | backend/routers/commerce.py
POST | '/admin/sites' | create_site | _require_rank('admin') | backend/routers/commerce.py
GET | '/more/admin/flags' | more_admin_flags | _dep_current_user | backend/routers/community.py
GET | '/more/admin/moderation-log' | more_moderation_log | _dep_current_user | backend/routers/community.py
GET | '/more/admin/moderation-stats' | more_moderation_stats | _dep_current_user | backend/routers/community.py
GET | '/more/admin/queue' | more_admin_review_queue | _dep_current_user | backend/routers/community.py
GET | '/more/chat/{session_id}' | more_chat_get | _dep_current_user | backend/routers/community.py
GET | '/more/department/history' | more_department_history | _dep_current_user | backend/routers/community.py
GET | '/more/department/integrity' | more_department_integrity | _dep_current_user | backend/routers/community.py
GET | '/more/needs' | more_list_needs | none | backend/routers/community.py
GET | '/more/posts' | more_list_posts | none | backend/routers/community.py
GET | '/xp/leaderboard' | xp_leaderboard | _dep_current_user | backend/routers/community.py
GET | '/xp/me' | my_xp | _dep_current_user | backend/routers/community.py
POST | '/more/admin/queue/{content_type}/{content_id}/approve' | more_admin_approve | _dep_current_user | backend/routers/community.py
POST | '/more/admin/queue/{content_type}/{content_id}/reject' | more_admin_reject | _dep_current_user | backend/routers/community.py
POST | '/more/appeal' | more_appeal_decision | _dep_current_user | backend/routers/community.py
POST | '/more/chat/send' | more_chat_send | _dep_current_user | backend/routers/community.py
POST | '/more/department/chat' | more_department_chat | _dep_current_user | backend/routers/community.py
POST | '/more/flag' | more_flag_content | _dep_current_user | backend/routers/community.py
POST | '/more/need' | more_create_need | _dep_current_user | backend/routers/community.py
POST | '/more/post' | more_create_post | _dep_current_user | backend/routers/community.py
POST | '/more/purge' | more_manual_purge | _dep_current_user | backend/routers/community.py
GET | '/competition/leaderboard' | get_leaderboard | _require_rank('executive_admin') | backend/routers/competition.py
GET | '/competition/ping' | competition_ping | none | backend/routers/competition.py
GET | '/competition/projects' | get_projects | _require_rank('executive_admin') | backend/routers/competition.py
GET | '/competition/projects/{project_id}' | get_project | _require_rank('executive_admin') | backend/routers/competition.py
GET | '/competition/status' | get_status | _require_rank('executive_admin') | backend/routers/competition.py
POST | '/competition/score' | submit_user_scores | _require_rank('executive_admin') | backend/routers/competition.py
POST | '/competition/task' | assign_task | _require_rank('executive_admin') | backend/routers/competition.py
DELETE | '/creator/courses/{course_id}' | creator_delete_course | _dep_current_user | backend/routers/creator.py
GET | '/creator/bank-account' | creator_get_bank_account | _dep_current_user | backend/routers/creator.py
GET | '/creator/courses' | creator_list_my_courses | _dep_current_user | backend/routers/creator.py
GET | '/creator/courses/published' | creator_published_catalog | none | backend/routers/creator.py
GET | '/creator/courses/{course_id}' | creator_get_course | _dep_current_user | backend/routers/creator.py
GET | '/creator/earnings' | creator_earnings_summary | _dep_current_user | backend/routers/creator.py
GET | '/creator/enrollments/me' | creator_enrollments_me | _dep_current_user | backend/routers/creator.py
GET | '/creator/payout-profile' | creator_get_payout_profile | _dep_current_user | backend/routers/creator.py
GET | '/creator/payouts' | creator_payout_history | _dep_current_user | backend/routers/creator.py
GET | '/creator/profile/me' | get_my_creator_profile | _dep_current_user | backend/routers/creator.py
GET | '/creator/profile/{slug}' | get_creator_profile_by_slug | none | backend/routers/creator.py
GET | '/creator/profiles/public' | list_public_creator_profiles | none | backend/routers/creator.py
PATCH | '/creator/courses/{course_id}' | creator_update_course | _dep_current_user | backend/routers/creator.py
POST | '/admin/creator-payouts/process' | admin_process_creator_payouts | _require_rank('executive_admin') | backend/routers/creator.py
POST | '/creator/bank-account' | creator_save_bank_account_legacy | _dep_current_user | backend/routers/creator.py
POST | '/creator/courses' | creator_create_course | _dep_current_user | backend/routers/creator.py
POST | '/creator/courses/{course_id}/checkout' | creator_course_checkout | _dep_current_user | backend/routers/creator.py
POST | '/creator/payout-profile' | creator_save_payout_profile | _dep_current_user | backend/routers/creator.py
POST | '/creator/payout-request' | creator_request_payout | _dep_current_user | backend/routers/creator.py
PUT | '/creator/profile' | upsert_creator_profile | _dep_current_user | backend/routers/creator.py
DELETE | '/creator-lounge/projects/{project_id}' | cl_delete_project | _dep_current_user | backend/routers/creator_lounge.py
